Country,ISO3,Acronym,Bloc Full Name,Block_Code,Type,Start,End,,,,,,,,,,
Saudi Arabia,SAU,GCC,Gulf Cooperation Council,XGC,institutional,1981,max,,,,,,,,,,
United Arab Emirates,ARE,GCC,Gulf Cooperation Council,XGC,institutional,1981,max,,,,,,,,,,
India,IND,INDIA,India Standalone,XIN,geopolitical,1947,max,,,,,,,,,,
Ecuador,ECU,CAN,Comunidad Andina,XAN,institutional,1969,max,,,,,,,,,,
Colombia,COL,CAN,Comunidad Andina,XAN,institutional,1969,max,,,,,,,,,,
Peru,PER,CAN,Comunidad Andina,XAN,institutional,1969,max,,,,,,,,,,
Bolivia,BOL,CAN,Comunidad Andina,XAN,institutional,1969,max,,,,,,,,,,
Venezuela,VEN,CAN,Comunidad Andina,XAN,institutional,1973,2006,,,,,,,,,,
Chile,CHL,CAN,Comunidad Andina,XAN,institutional,1969,1976,,,,,,,,,,
Argentina,ARG,MERCOSUR,Southern Common Market,XMS,institutional,1991,max,,,,,,,,,,
Brazil,BRA,MERCOSUR,Southern Common Market,XMS,institutional,1991,max,,,,,,,,,,
Paraguay,PRY,MERCOSUR,Southern Common Market,XMS,institutional,1991,max,,,,,,,,,,
Uruguay,URY,MERCOSUR,Southern Common Market,XMS,institutional,1991,max,,,,,,,,,,
Venezuela,VEN,MERCOSUR,Southern Common Market,XMS,institutional,2012,2016,,,,,,,,,,
Bolivia,BOL,MERCOSUR,Southern Common Market,XMS,institutional,2024,max,,,,,,,,,,
Canada,CAN,NAFTA/USMCA,North American Free Trade Area,XNA,institutional,1994,max,,,,,,,,,,
Mexico,MEX,NAFTA/USMCA,North American Free Trade Area,XNA,institutional,1994,max,,,,,,,,,,
United States,USA,NAFTA/USMCA,North American Free Trade Area,XNA,institutional,1994,max,,,,,,,,,,
